Année,Champion Masculin,Champion Féminin
['\xa0'],,
['2024'],['Ayé-Ayé'],['Duval-Pally']
['2023'],['Barthélémy-Cattet'],['Vieira-Chamereau']
['2022'],['Ayé-Ayé'],['Vieira-Chamereau']
['2021'],['Krou-Barthélémy'],['Richard-Placette']
['2020'],['Krou-Rowlandson'],['Richard-Placette']
['2019'],['Ayé-Gauthier Rat'],['Longuet-Haragova']
['2018'],['Di Giantommaso-Silvestre'],['Longuet-Haragova']
['2017'],['Di Giantommaso-Thiercy'],['Haragova-Formankova']
['2016'],['Di Giantommaso-Thiercy'],['Haragova-Formankova']
['2015'],['Di Giantommaso-Thiercy'],['Giaoui-Adelin']
['2014'],['Salvetti-Daguerre'],['Haragova-Formankova']
['2013'],['Salvetti-Daguerre'],['Giaoui-Giordano']
['2012'],['Alimi-Duée'],['Giaoui-Benhamou']
['2011'],['Ces-Ces\xa0'],['\xa0Giaoui-Benhamou']
['2010'],['Lyneel-Brachard'],['Giordano-Faure']
['2009'],['Ces-Ces'],['Giaoui-Hamzaoui']
['2008'],['Ces-Ces'],['Faure-Sarpaux']
['2007'],['Ces-Ces'],['Castelli-Puig']
['2006'],['Deulofeu-Salvetti'],['Barrera-Hamzaoui']
['2005'],['-'],['-']
['2004'],['Conte-Uguet'],['Arjona-Kadjo']
['2003'],['Canet-Hamel'],['Etienne-Giaoui']
['2002'],['Deulofeu-Molinier'],['Arjona-Kadjo']
['2001'],['Deulofeu-Molinier'],['Arjona-Indremilla']
['2000'],['Znatchkowsky-Daguerre'],['Syren-Luge']
['1999'],['Canet-Hamel'],['Rigaux-Prawerman']
['1998'],['Canet-Hamel'],['Tari-Salinas']
['1997'],['Penigaud-Glowacz'],['Tari-Salinas']
['1996'],['Conte-Uguet'],['Cordinier-Filisetti']
['1995'],['Deulofeu-Meucci'],['Cordier-Gilli']
['1994'],['Burlas-Bouvier'],['Prawerman-Feumi Jantou']
['\xa0'],,
['2005'],['Ces-Dugrip'],['Kadjo-Arjona']
