Année,Champion Masculin,Champion Féminin
2025,Tours Volley-Ball,Levallois Paris St-Cloud
2024,St Nazaire VB Atlantique,Levallois Paris St-Cloud
2023,Tours Volley-Ball,Volero Le Cannet
2022,Montpellier Castelnau Volley UC,Volero Le Cannet
2021,AS Cannes,ASPTT Mulhouse
2020,-,-
2019,Tours Volley-Ball,RC Cannes
2018,Tours Volley-Ball,Béziers Volley-Ball
2017,Chaumont VB 52 Haute-Marne,ASPTT Mulhouse
2016,Paris Volley,St-Raphaël Var VB
2015,Tours Volley-Ball,RC Cannes
2014,Tours Volley-Ball,RC Cannes
2013,Tours Volley-Ball,RC Cannes
2012,Tours Volley-Ball,RC Cannes
2011,Stade Poitevin,RC Cannes
2010,Tours Volley-Ball,RC Cannes
2009,Paris Volley,RC Cannes
2008,Paris Volley,RC Cannes
2007,Paris Volley,RC Cannes
2006,Paris Volley,RC Cannes
2005,AS Cannes,RC Cannes
2004,Tours Volley-Ball,RC Cannes
2003,Paris Volley,RC Cannes
2002,Paris Volley,RC Cannes
2001,Paris Volley,RC Cannes
2000,Paris Volley,RC Cannes
1999,Stade Poitevin,RC Cannes
1998,Paris UC,RC Cannes
1997,Paris UC,VBC Riom
1996,Paris UC,RC Cannes
1995,AS Cannes,RC Cannes
1994,AS Cannes,VBC Riom
1993,PSG Asnières,VBC Riom
1992,AS Fréjus VB,Racing Club de France
1991,AS Cannes,Racing Club de France
1990,AS Cannes,Racing Club de France
1989,AS Fréjus VB,Racing Club de France
1988,AMSL Fréjus,Racing Club de France
1987,AMSL Fréjus,Racing Club de France
1986,AS Cannes,CSM Clamart
1985,AS Grenoble,CSM Clamart
1984,Asnières Sports,CSM Clamart
1983,AS Cannes,CSM Clamart
1982,AS Cannes,CSM Clamart
1981,AS Cannes,CSM Clamart
1980,Asnières Sports,ASU Lyon
1979,Asnières Sports,ASU Lyon
1978,Racing Club de France,Paris UC
1977,Racing Club de France,ASPTT Montpellier
1976,VGA Saint-Maur,ASU Lyon
1975,Montpellier UC,ASPTT Montpellier
1974,Stade Français,ASPTT Montpellier
1973,Montpellier UC,ASPTT Montpellier
1972,Montpellier UC,ASPTT Montpellier
1971,Racing Club de France,ASPTT Montpellier
1970,Racing Club de France,ASPTT Montpellier
1969,Racing Club de France,Paris UC
1968,Paris UC,Paris UC
1967,Paris UC,Paris UC
1966,Asnières Sports,Racing Club de France
1965,Asnières Sports,Racing Club de France
1964,Racing Club de France,Tourcoing Sports
1963,Paris UC,Tourcoing Sports
1962,Paris UC,Montpellier UC
1961,* Stade Français et Caid Oran,Tourcoing Sports
1960,Stade Français,Stade Français
1959,BNCI Alger,Montpellier UC
1958,Stade Français,Montpellier UC
1957,Stade Français,Montpellier UC
1956,CO Billancourt,Racing Club de France
1955,CO Billancourt,Racing Club de France
1954,CO Billancourt,Racing Club de France
1953,Stade Français,Racing Club de France
1952,Stade Français,Montpellier UC
1951,Montpellier UC,Racing Club de France
1950,Montpellier UC,Montpellier UC
1949,Montpellier UC,Montpellier UC
1948,Racing Club de France,AS Cannes
1947,Montpellier UC,Racing Club de France
1946,Racing Club de France,Racing Club de France
1945,Stade Français,Paris UC
1944,-,-
1943,Paris UC,AS Cannes
1942,* RCF et RC Cannes,Villa Primerose Bordeaux
1941,Paris UC,Villa Primerose Bordeaux
1940,-,-
1939,Volley-Club de France,-
1938,SS Amicale Paris,-
